[I 2025-10-07 12:54:22,398] Trial 73 finished with value: 0.3007279421652002 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:00:57,908] Trial 74 finished with value: 0.30233005318729983 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:07:53,519] Trial 75 finished with value: 0.2507762205486838 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.0005}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:15:04,500] Trial 76 finished with value: 0.0 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.4, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:21:30,332] Trial 77 finished with value: 0.24886195852776963 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:28:33,791] Trial 78 finished with value: 0.13638129284101252 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:43:09,678] Trial 79 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:50:05,902] Trial 80 finished with value: 0.3029509196092987 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 13:57:15,726] Trial 81 finished with value: 0.30253658495997166 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:03:37,247] Trial 82 finished with value: 0.30224107386759536 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:10:40,480] Trial 83 finished with value: 0.3005506856153856 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:17:44,895] Trial 84 finished with value: 0.300532819072538 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:24:05,336] Trial 85 finished with value: 0.30223337964756986 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:31:17,707] Trial 86 finished with value: 0.0029880711389533277 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.1, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.0005}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:38:14,952] Trial 87 finished with value: 0.3021037902163101 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:50:24,385] Trial 88 finished with value: 0.000741203510093108 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 14:57:24,597] Trial 89 finished with value: 0.3027554086601383 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 15:09:29,424] Trial 90 finished with value: 0.3148842260602318 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 15:21:32,358] Trial 91 finished with value: 0.31498542203610563 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 15:34:16,820] Trial 92 finished with value: 0.31483248768760586 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 15:46:08,291] Trial 93 finished with value: 0.3098507708491709 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 15:58:19,185] Trial 94 finished with value: 0.31251833354119757 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 16:10:48,517] Trial 95 finished with value: 0.31475361335822977 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 16:37:07,011] Trial 96 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.4, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 16:49:03,661] Trial 97 finished with value: 0.00039886324280928245 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 41 with value: 0.31649337546791106.
