number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
223,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
224,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
225,0.22860401053182636,0.05,64,0.1,0.01,7.0,9,1000
226,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
227,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
228,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
229,0.8499473817453895,0.005,128,0.1,0.01,7.0,3,1000
230,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
231,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
232,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
233,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
234,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
235,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
236,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
237,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
238,0.8503470732760896,0.001,256,0.1,0.01,7.0,3,1000
239,0.8503799545089291,0.1,256,0.1,0.1,7.0,3,1000
240,0.1401263399368608,0.005,256,0.1,0.01,2.0,3,750
241,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
242,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
243,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
244,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
245,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
246,0.8503837203232792,0.005,512,0.1,0.01,7.0,3,1000
247,0.8503837203232792,0.05,256,0.01,0.01,7.0,3,1000
248,0.8494836434075151,0.005,256,0.1,0.01,5.0,3,1000
249,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
250,0.25891291064133576,0.005,256,0.1,0.01,7.0,7,1000
251,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
252,0.8503754771079906,0.005,256,0.001,0.01,7.0,3,500
253,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
254,0.8500386590340141,0.005,256,0.1,0.001,7.0,3,1000
255,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
256,0.8503710476401518,0.001,256,0.1,0.1,7.0,3,1000
257,0.6740672333520569,0.005,32,0.1,0.01,7.0,3,750
258,0.1719754112243956,0.1,64,0.1,0.01,7.0,9,1000
259,0.8503837203232792,0.005,512,0.1,0.01,7.0,3,1000
260,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
261,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
262,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
263,0.8499562123292516,0.005,128,0.1,0.01,7.0,3,1000
264,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
265,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
266,0.13550036547431937,0.005,256,0.1,0.01,2.0,3,1000
267,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
268,0.8503789815665823,0.005,256,0.1,0.1,7.0,3,1000
269,0.10378133188984519,0.005,256,0.01,0.01,7.0,7,750
270,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
271,0.841793374446397,0.001,256,0.1,0.01,5.0,3,1000
272,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
273,0.8503837203232792,0.005,512,0.1,0.01,7.0,3,500
274,0.8500200428469364,0.005,256,0.1,0.001,7.0,3,1000
275,0.8503837203232792,0.05,256,0.001,0.01,7.0,3,1000
276,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
277,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
278,0.6034053057206422,0.005,256,0.1,0.01,7.0,5,1000
279,0.6759889705368388,0.005,32,0.1,0.01,7.0,3,1000
280,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
281,0.8503759295352363,0.005,256,0.2,0.1,7.0,3,1000
282,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,750
283,0.08875040074588102,0.005,256,0.1,0.01,7.0,9,1000
284,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
285,0.7990178276013392,0.001,64,0.1,0.01,7.0,3,1000
286,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
287,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
288,0.13671940238558836,0.005,512,0.1,0.01,2.0,3,1000
289,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
290,0.8499706557717971,0.005,128,0.1,0.01,7.0,3,1000
291,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
292,0.8495114021159226,0.005,256,0.1,0.01,5.0,3,1000
293,0.8503789815665823,0.01,256,0.1,0.1,7.0,3,500
294,0.10974202094667372,0.005,256,0.01,0.01,7.0,7,1000
295,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,750
296,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
297,0.850007894824814,0.005,256,0.1,0.001,7.0,3,1000
298,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
299,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
