[I 2025-09-16 01:04:03,377] A new study created in memory with name: no-name-5982d125-ba8d-47cf-b664-18b6f5d80912
[I 2025-09-16 03:10:43,530] Trial 68 finished with value: 0.8351182734757028 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:12:01,669] Trial 69 finished with value: 0.6887520105459639 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.05, 'win_size': 3, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:13:52,717] Trial 70 finished with value: 0.8197911555695423 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.005, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:15:43,196] Trial 71 finished with value: 0.8381628795855731 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:17:33,388] Trial 72 finished with value: 0.8380777258794718 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:19:23,759] Trial 73 finished with value: 0.8381501397091801 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:21:14,105] Trial 74 finished with value: 0.8381838626865318 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:22:42,036] Trial 75 finished with value: 0.6737253404531471 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.001, 'lr': 0.001, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:24:32,913] Trial 76 finished with value: 0.6851233915262146 and parameters: {'hid_dim': 128, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:26:40,432] Trial 77 finished with value: 0.7124201478389992 and parameters: {'hid_dim': 64, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 9, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:28:31,265] Trial 78 finished with value: 0.8207245520305329 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:30:21,597] Trial 79 finished with value: 0.8381574064011962 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:31:47,737] Trial 80 finished with value: 0.8323979493520797 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 750}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:33:37,890] Trial 81 finished with value: 0.837886654661688 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:35:27,888] Trial 82 finished with value: 0.8385193327505283 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:37:18,204] Trial 83 finished with value: 0.837922548671526 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:39:08,313] Trial 84 finished with value: 0.8380845347659492 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:40:58,781] Trial 85 finished with value: 0.8381519424372128 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:42:48,939] Trial 86 finished with value: 0.8379741188384309 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:44:39,488] Trial 87 finished with value: 0.8154505652244662 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:48:11,336] Trial 88 finished with value: 0.8234153767373142 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.001, 'lr': 0.005, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:49:29,307] Trial 89 finished with value: 0.7248554077747654 and parameters: {'hid_dim': 128, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.001, 'win_size': 3, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:51:21,022] Trial 90 finished with value: 0.8376633605966377 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:53:16,613] Trial 91 finished with value: 0.8381304946768064 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
[I 2025-09-16 03:55:11,936] Trial 92 finished with value: 0.8381400429853435 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 82 with value: 0.8385193327505283.
