[I 2025-08-25 23:03:02,275] Trial 10 finished with value: 0.779436612490284 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 1.5, 'win_size': 4}. Best is trial 10 with value: 0.779436612490284.
[I 2025-08-26 03:26:34,885] Trial 19 finished with value: 0.778818832517309 and parameters: {'dropout_rate': 0.2, 'lr': 0.001, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 6}. Best is trial 18 with value: 0.7964431490413763.
[I 2025-08-27 04:21:56,997] Trial 87 finished with value: 0.7782811671009618 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 6}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-26 06:55:09,608] Trial 26 finished with value: 0.7774610692681451 and parameters: {'dropout_rate': 0.2, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 3.0, 'win_size': 6}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-25 19:28:16,688] Trial 0 finished with value: 0.7758894048907946 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 1.5, 'win_size': 2}. Best is trial 0 with value: 0.7758894048907946.
[I 2025-08-27 08:12:11,397] Trial 99 finished with value: 0.7737286319781903 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 1.5, 'win_size': 6}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-26 21:17:53,646] Trial 65 finished with value: 0.7729107888637884 and parameters: {'dropout_rate': 0.4, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 61 with value: 0.8048463807646877.
[I 2025-08-26 00:55:13,723] Trial 14 finished with value: 0.7721031305503311 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 1.5, 'win_size': 4}. Best is trial 11 with value: 0.7805546024554015.
[I 2025-08-25 23:58:50,936] Trial 12 finished with value: 0.7678975878863649 and parameters: {'dropout_rate': 0.2, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 1.5, 'win_size': 4}. Best is trial 11 with value: 0.7805546024554015.
[I 2025-08-27 07:32:15,351] Trial 98 finished with value: 0.7639733555593811 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 1.0, 'win_size': 2}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-27 13:39:37,099] Trial 118 finished with value: 0.7570439436509814 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 64, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 13:38:46,851] Trial 40 finished with value: 0.7553149762539686 and parameters: {'dropout_rate': 0.2, 'lr': 0.005, 'weight_decay': 0.0005, 'hid_dim': 128, 'beta': 4.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-27 04:39:25,667] Trial 88 finished with value: 0.7404626219848719 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 64, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
