[I 2025-09-12 22:52:44,874] Trial 64 finished with value: 0.853841569839567 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:53:37,768] Trial 65 finished with value: 0.8538809655921393 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:54:30,679] Trial 66 finished with value: 0.8541098827140527 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:55:24,017] Trial 67 finished with value: 0.8537345387316759 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.1, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:56:16,962] Trial 68 finished with value: 0.8537199887721302 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:57:10,127] Trial 69 finished with value: 0.8539445734160451 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:58:04,033] Trial 70 finished with value: 0.8288968492645608 and parameters: {'hid_dim': 256, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.2, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:58:57,153] Trial 71 finished with value: 0.8539832038375954 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:59:50,233] Trial 72 finished with value: 0.8540464073377669 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:00:44,506] Trial 73 finished with value: 0.8541826916332954 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:01:39,099] Trial 74 finished with value: 0.8535821047474769 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:02:49,043] Trial 75 finished with value: 0.8542051340982668 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:04:15,088] Trial 76 finished with value: 0.8540315191802839 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:05:41,289] Trial 77 finished with value: 0.7659376111561668 and parameters: {'hid_dim': 256, 'theta': 1.4, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.3, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:07:07,362] Trial 78 finished with value: 0.8529829383296219 and parameters: {'hid_dim': 256, 'theta': 0.6, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:08:33,008] Trial 79 finished with value: 0.8541511139957547 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:09:58,509] Trial 80 finished with value: 0.7967736508957344 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:11:23,807] Trial 81 finished with value: 0.8532110056510951 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:12:49,341] Trial 82 finished with value: 0.8541490786053895 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:14:15,261] Trial 83 finished with value: 0.8538392662575635 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 23:16:06,338] Trial 84 finished with value: 0.81795463543657 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 8}. Best is trial 51 with value: 0.8543690978023926.
